E0 F0,E0,F0
A,1C,F0 1C
B,32,F0 32
C,21,F0 21
D,23,F0 23
E,24,F0 24
F,2B,F0 2B
G,34,F0 34
H,33,F0 33
I,43,F0 43
J,3B,F0 3B
K,42,F0 42
L,4B,F0 4B
M,3A,F0 3A
N,31,F0 31
O,44,F0 44
P,4D,F0 4D
Q,15,F0 15
R,2D,F0 2D
S,1B,F0 1B
T,2C,F0 2C
U,3C,F0 3C
V,2A,F0 2A
W,1D,F0 1D
X,22,F0 22
Y,35,F0 35
Z,1A,F0 1A
0,45,F0 45
1,16,F0 16
2,1E,F0 1E
3,26,F0 26
4,25,F0 25
5,2E,F0 2E
6,36,F0 36
7,3D,F0 3D
8,3E,F0 3E
9,46,F0 46
BTICK,0E,F0 0E
DASH,4E,F0 4E
EQUAL,55,F0 55
BACKSLASH,5D,F0 5D
BACKSPACE,66,F0 66
SPACE,29,F0 29
TAB,0D,F0 0D
CAPS,58,F0 58
LSHIFT,12,F0 12
LCTRL,14,F0 14
LGUI,E0 1F,E0 F0 1F
LALT,11,F0 11
RSHIFT,59,F0 59
RCTRL,E0 14,E0 F0 14
RGUI,E0 27,E0 F0 27
RALT,E0 11,E0 F0 11
APPS,E0 2F,E0 F0 2F
ENTER,5A,F0 5A
ESC,76,F0 76
F1,05,F0 05
F2,06,F0 06
F3,04,F0 04
F4,0C,F0 0C
F5,03,F0 03
F6,0B,F0 0B
F7,83,F0 83
F8,0A,F0 0A
F9,01,F0 01
F10,09,F0 09
F11,78,F0 78
F12,07,F0 07
PRNTSCRN,E0 12 E0 7C,E0 F0 7C E0 F0 12
SCROLL,7E,F0 7E
PAUSE,E1 14 77 E1 F0 14 F0 77,00
SQOPN,54,F0 54
INSERT,E0 70,E0 F0 70
HOME,E0 6C,E0 F0 6C
PGUP,E0 7D,E0 F0 7D
DELETE,E0 71,E0 F0 71
END,E0 69,E0 F0 69
PGDN,E0 7A,E0 F0 7A
UARROW,E0 75,E0 F0 75
LARROW,E0 6B,E0 F0 6B
DARROW,E0 72,E0 F0 72
RARROW,E0 74,E0 F0 74
NUM,77,F0 77
KP/,E0 4A,E0 F0 4A 
KP*,7C,F0 7C
KP-,7B,F0 7B
KP+,79,F0 79
KPEN,E0 5A,E0 F0 5A 
KP.,71,F0 71
KP0,70,F0 70
KP1,69,F0 69
KP2,72,F0 72
KP3,7A,F0 7A
KP4,6B,F0 6B
KP5,73,F0 73
KP6,74,F0 74
KP7,6C,F0 6C
KP8,75,F0 75
KP9,7D,F0 7D
SQCLS,5B,F0 5B
SCOLON,4C,F0 4C
SQUOTE,52,F0 52
COMMA,41,F0 41
DOT,49,F0 49
SLASH,4A,F0 4A
POWER,E0 37,E0 F0 37
SLEEP,E0 3F,E0 F0 3F
WAKE,E0 5E,E0 F0 5E
NTRACK,E0 4D,E0 F0 4D
PREVTRACK,E0 15,E0 F0 15
STOPMM,E0 3B,E0 F0 3B
PLAYPAUSE,E0 34,E0 F0 34
MUTE,E0 23,E0 F0 23
VOLUP,E0 32,E0 F0 32
VOLDOWN,E0 21,E0 F0 21
MEDIASEL,E0 50,E0 F0 50
EMAIL,E0 48,E0 F0 48
CALC,E0 2B,E0 F0 2B
MYCOMP,E0 40,E0 F0 40
WWWSEARCH,E0 10,E0 F0 10
WWWHOME,E0 3A,E0 F0 3A
WWWBACK,E0 38,E0 F0 38
WWWFRWD,E0 30,E0 F0 30
WWWSTOP,E0 28,E0 F0 28
WWWREFRESH,E0 20,E0 F0 20
WWWFAVOR,E0 18,E0 F0 18
